P00734	['Prothrombin', '3.4.21.5', 'Coagulation factor II']
P0A759	['Glucosamine-6-phosphate deaminase', 'GNPDA', 'Glucosamine-6-phosphate isomerase', 'glmD', '3.5.99.6', 'GlcN6P deaminase']
Q5SJ79	['Cytochrome c ba(3) subunit I', 'Cytochrome cba3 subunit 1', '1.9.3.1', 'Cytochrome c oxidase polypeptide I', 'Cytochrome c oxidase subunit 1']
Q5SJ80	['Cytochrome c oxidase subunit 2', '1.9.3.1', 'Cytochrome c ba(3) subunit II', 'Cytochrome cba3 subunit 2', 'ctaC', 'Cytochrome c oxidase polypeptide II']
P82543	['Cytochrome cba3 subunit 2A', '1.9.3.1', 'Cytochrome c oxidase polypeptide IIA', 'Cytochrome c oxidase polypeptide 2A', 'Cytochrome c ba(3) subunit IIA']
P04118	['Colipase']
Q56408	['Cytochrome c ba(3) subunit I', 'Cytochrome cba3 subunit 1', '1.9.3.1', 'Cytochrome c oxidase polypeptide I', 'Cytochrome c oxidase subunit 1']
P98052	['Cytochrome c oxidase subunit 2', '1.9.3.1', 'Cytochrome c ba(3) subunit II', 'Cytochrome cba3 subunit 2', 'ctaC', 'Cytochrome c oxidase polypeptide II']
P30301	['AQP0', 'Aquaporin-0', 'MP26', 'MIP26', 'Lens fiber major intrinsic protein']
P09391	['3.4.21.105', 'Intramembrane serine protease', 'Rhomboid protease GlpG']
Q146M9	['Putative inward rectifier potassium channel']
P60063	['Arginine/agmatine antiporter']
P61888	['rmlA2', 'dTDP-glucose synthase 2', '2.7.7.24', 'Glucose-1-phosphate thymidylyltransferase 2', 'dTDP-glucose pyrophosphorylase 2']
P03692	['Gene product 4', 'DNA primase/helicase', '2.7.7.-', 'Gp4']
O00142	['2.7.1.21', 'Mt-TK', 'Thymidine kinase 2, mitochondrial']
Q9PPP5	['2.7.1.21', 'Thymidine kinase']
Q08698	['Ribonucleoside-diphosphate reductase 2 subunit alpha', 'R1E protein', '1.17.4.1', 'Ribonucleotide reductase 2']
P08690	['3.6.3.16', 'Arsenite-translocating ATPase', 'Arsenical pump-driving ATPase', 'Arsenite-transporting ATPase', 'Arsenical resistance ATPase']
P0A6I0	['2.7.4.25', 'CK', 'ycaF', 'Cytidylate kinase', 'Cytidine monophosphate kinase', 'Protein MssA', 'ycaG', 'p25', 'CMP kinase', 'mssA']
P21638	['Precorrin-8X methylmutase', 'Precorrin isomerase', '5.4.99.61', 'HBA synthase']
P0AE67	['Chemotaxis protein CheY']
P20339	['RAB5', 'Ras-related protein Rab-5A']
P22364	['Amicyanin', 'ami']
P80561	['Aminopeptidase S', 'SGAP', 'API', '3.4.11.24']
Q9HVZ0	['Sedoheptulose 7-phosphate isomerase', 'Phosphoheptose isomerase', '5.3.1.28']
P22694	['PKA C-beta', 'cAMP-dependent protein kinase catalytic subunit beta', '2.7.11.11']
P50613	['CDK-activating kinase 1', '39 kDa protein kinase', 'CAK1', 'CAK', 'p39 Mo15', '2.7.11.22', 'Serine/threonine-protein kinase 1', 'STK1', 'Cyclin-dependent kinase 7', 'Cell division protein kinase 7', 'MO15', 'CDKN7', 'TFIIH basal transcription factor complex kinase subunit']
P97084	['Threonine-phosphate decarboxylase', '4.1.1.81', 'L-threonine-O-3-phosphate decarboxylase']
P31949	['Protein S100-A11', 'MLN70', 'S100C', 'MLN 70', 'S100 calcium-binding protein A11', 'Protein S100-C', 'Calgizzarin', 'Metastatic lymph node gene 70 protein']
P53778	['ERK-6', 'MAP kinase 12', 'Mitogen-activated protein kinase 12', 'Extracellular signal-regulated kinase 6', 'MAP kinase p38 gamma', 'SAPK3', 'Mitogen-activated protein kinase p38 gamma', 'ERK6', '2.7.11.24', 'Stress-activated protein kinase 3']
O14965	['AIRK1', '2.7.11.1', 'STK6', 'STK15', 'IAK1', 'AIK', 'BTAK', 'Aurora 2', 'ARK-1', 'hARK1', 'Serine/threonine-protein kinase aurora-A', 'Serine/threonine-protein kinase 6', 'Serine/threonine-protein kinase 15', 'Breast tumor-amplified kinase', 'Aurora kinase A', 'ARK1', 'Aurora-related kinase 1', 'Aurora/IPL1-related kinase 1', 'AYK1', 'AURA']
Q10588	['Bone marrow stromal antigen 1', 'ADP-ribosyl cyclase 2', 'Cyclic ADP-ribose hydrolase 2', '3.2.2.6', 'BST-1', 'cADPr hydrolase 2', 'ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2']
Q8NFW8	['CMP-N-acetylneuraminic acid synthase', 'N-acylneuraminate cytidylyltransferase', 'CMP-NeuNAc synthase', '2.7.7.43']
Q59771	['PheDH', 'Phenylalanine dehydrogenase', '1.4.1.20']
Q96L21	['60S ribosomal protein L10-like']
P40429	['60S ribosomal protein L13a', '23 kDa highly basic protein']
P62829	['60S ribosomal protein L23', '60S ribosomal protein L17']
P61313	['60S ribosomal protein L15', 'EC45']
P84098	['60S ribosomal protein L19']
P62750	['60S ribosomal protein L23a']
Q9UHA3	['Ribosomal protein L24-like', 'Ribosomal L24 domain-containing protein 1', 'Probable ribosome biogenesis protein RLP24', 'C15orf15', 'RPL24L']
Q9UNX3	['RPL26P1', '60S ribosomal protein L26-like 1']
P62917	['60S ribosomal protein L8']
P61927	['G1.16', '60S ribosomal protein L37']
P39023	['TARBP-B', '60S ribosomal protein L3', 'HIV-1 TAR RNA-binding protein B']
P62913	['CLL-associated antigen KW-12', '60S ribosomal protein L11']
P55769	['U4/U6.U5 tri-snRNP 15.5 kDa protein', 'High mobility group-like nuclear protein 2 homolog 1', 'NHP2-like protein 1', 'SNU13 homolog', 'OTK27', 'U4/U6.U5 small nuclear ribonucleoprotein SNU13', 'NHP2L1', 'hSNU13']
P15085	['CPA', '3.4.17.1', 'Carboxypeptidase A1']
P45568	['2-C-methyl-D-erythritol 4-phosphate synthase', 'DXP reductoisomerase', 'ispC', 'yaeM', '1-deoxy-D-xylulose 5-phosphate reductoisomerase', '1-deoxyxylulose-5-phosphate reductoisomerase', '1.1.1.267']
P76216	['3.5.3.23', 'N-succinylarginine dihydrolase', 'ydjT']
P62136	['PP-1A', '3.1.3.16', 'PPP1A', 'Serine/threonine-protein phosphatase PP1-alpha catalytic subunit']
P30153	['Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform', 'PP2A subunit A isoform R1-alpha', 'PP2A subunit A isoform PR65-alpha', 'Medium tumor antigen-associated 61 kDa protein']
Q13362	['PP2A B subunit isoform B56-gamma', "PP2A B subunit isoform B'-gamma", 'KIAA0044', 'PP2A B subunit isoform R5-gamma', 'PP2A B subunit isoform PR61-gamma', 'Renal carcinoma antigen NY-REN-29', 'Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform']
P63151	['Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform', 'PP2A subunit B isoform PR55-alpha', 'PP2A subunit B isoform alpha', 'PP2A subunit B isoform R2-alpha', 'PP2A subunit B isoform B55-alpha']
A0A0H2UXE9	['Geranyltranstransferase (Farnesyldiphosphate synthase)', 'Geranyltranstransferase,Farnesyl diphosphate synthase,geranyltranstransferase,Geranylgeranyl pyrophosphate synthase,heptaprenyl diphosphate synthase component II,Polyprenyl synthetase']
P46881	['Phenylethylamine oxidase', 'Primary amine oxidase', '1.4.3.21']
P05062	['Fructose-bisphosphate aldolase B', 'Liver-type aldolase', '4.1.2.13', 'ALDB']
Q07785	['Cell division control protein 2 homolog', 'PfPK5', 'PK5', '2.7.11.22']
Q4R2T2	['Prenyltransferase']
P22983	['Pyruvate, phosphate dikinase', '2.7.9.1', 'Pyruvate, orthophosphate dikinase']
Q56310	['2.7.13.3', 'Chemotaxis protein CheA']
P31323	['cAMP-dependent protein kinase type II-beta regulatory subunit']
P94182	['Adenylate cyclase', 'EC 4.6.1.1']
Q98GN8	['Cyclic nucleotide-gated potassium channel mll3241', 'MlotiK1 channel']
P0ACJ8	['CRP', 'Catabolite activator protein', 'csm', 'cAMP receptor protein', 'Catabolite gene activator', 'cAMP regulatory protein', 'cap', 'cAMP-activated global transcriptional regulator CRP']
P03472	['Neuraminidase', '3.2.1.18']
P0CG22	['SDR25C4', 'Putative dehydrogenase/reductase SDR family member 4-like 1', 'Short chain dehydrogenase/reductase family 25C member 4', '1.1.-.-']
P0CG47	['Polyubiquitin-B']
O15379	['RPD3-2', 'HD3', 'SMAP45', 'Histone deacetylase 3', '3.5.1.98']
Q9UBN7	['Histone deacetylase 6', 'HD6', '3.5.1.98', 'KIAA0901']
O67135	['Acetoin utilization protein']
O60547	['GDP-mannose 4,6 dehydratase', 'GMD', '4.2.1.47', 'GDP-D-mannose dehydratase']
P26394	['dTDP-4-keto-6-deoxyglucose 3,5-epimerase', 'dTDP-L-rhamnose synthase', 'dTDP-6-deoxy-D-xylo-4-hexulose 3,5-epimerase', 'Thymidine diphospho-4-keto-rhamnose 3,5-epimerase', '5.1.3.13', 'dTDP-4-dehydrorhamnose 3,5-epimerase', 'rmlC']
Q9PM68	['2.7.7.60', 'MECDP-synthase', 'Bifunctional enzyme IspD/IspF']
P62617	['ygbB', '4.6.1.12', 'mecS', '2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase', 'MECDP-synthase']
P9WFF5	['Z-isoprenyl diphosphate synthase', 'Short-chain Z-isoprenyl diphosphate synthase', '(2Z,6E)-farnesyl diphosphate synthase', 'Z-Polyprenyl diphosphate synthase', 'Z-FPP synthase', '2.5.1.68', 'Z-FPPS']
P9WFF7	['Decaprenyl pyrophosphate synthase', 'Decaprenyl diphosphate synthase', 'Long-chain isoprenyl diphosphate synthase', 'Trans,polycis-decaprenyl diphosphate synthase', '2.5.1.86', 'DecaPP']
P23276	['Kell blood group glycoprotein', '3.4.24.-']
P30084	['SCEH', 'Enoyl-CoA hydratase 1', 'Enoyl-CoA hydratase, mitochondrial', '4.2.1.17', 'Short-chain enoyl-CoA hydratase']
P0C8P8	['Alaninamide', 'Thiostrepton', 'Bryamycin', 'Gargon', 'Thiactin']
P29395	['50S ribosomal protein L11']
P00521	['Tyrosine-protein kinase transforming protein Abl', '2.7.10.2', 'V-abl']
P04632	['Calpain small subunit 1', 'CDPS', 'Calpain regulatory subunit', 'CSS1', 'CAPNS', 'CANP small subunit', 'Calcium-dependent protease small subunit 1', 'Calcium-dependent protease small subunit', 'Calcium-activated neutral proteinase small subunit', 'CAPN4']
Q88K39	['Glutaminase-asparaginase', '3.5.1.38', 'L-asparagine/L-glutamine amidohydrolase', 'L-ASNase/L-GLNase']
Q05488	['Glutamate mutase sigma subunit', '5.4.99.1', 'Glutamate mutase S chain', 'Methylaspartate mutase', 'Glutamate mutase small subunit', 'mutS']
A3FMN7	['Restriction endonuclease R.BpuJI']
L0DSL2	['Cytochrome c nitrite reductase', '1.7.2.2', 'Cytochrome c-552', 'TvNiR']
Q82EE4	['Uncharacterized protein']
Q74EF5	['Sensor cyclic diguanylate phosphodiesterase, GAF and GAF domain-containing']
B7JA91	['Uncharacterized protein']
Q3JWH7	['2,3-bisphosphoglycerate-dependent phosphoglycerate mutase', 'BPG-dependent PGAM', '5.4.2.11']
Q8ZIV7	['IMP--aspartate ligase', 'Adenylosuccinate synthetase', '6.3.4.4', 'AMPSase']
Q2LU76	['Hypothetical cytosolic protein']
A7B6P0	['EDD domain protein, DegV family']
Q87MW5	['Uncharacterized protein']
Q08462	['Adenylate cyclase type 2', 'Adenylyl cyclase 2', 'Adenylate cyclase type II', 'ATP pyrophosphate-lyase 2', '4.6.1.1', 'KIAA1060']
P63092	['Adenylate cyclase-stimulating G alpha protein', 'GNAS1', 'Guanine nucleotide-binding protein G(s) subunit alpha isoforms short', 'GSP']
O95622	['ATP pyrophosphate-lyase 5', 'Adenylate cyclase type V', 'AC5', 'Adenylate cyclase type 5', 'Adenylyl cyclase 5', '4.6.1.1']
Q6GGU4	['3-dehydroquinate synthase', '4.2.3.4']
P25910	['Penicillinase', 'Cephalosporinase', 'Beta-lactamase type II', 'Imipenem-cefoxitin hydrolyzing enzyme', 'cfiA', '3.5.2.6']
P0AE22	['3.1.3.2', 'napA', 'CBAP', 'Class B acid phosphatase', 'yjbP']
P0AGC3	['sltY', 'Exomuramidase', 'Soluble lytic murein transglycosylase', 'Peptidoglycan lytic exotransglycosylase', 'Slt70', '4.2.2.n1']
P41052	['35 kDa soluble lytic transglycosylase', 'Slt35', 'Murein hydrolase B', 'Membrane-bound lytic murein transglycosylase B', '4.2.2.n1']
Q96T66	['Nicotinamide-nucleotide adenylyltransferase 3', 'Pyridine nucleotide adenylyltransferase 3', 'Nicotinate-nucleotide adenylyltransferase 3', 'NMN adenylyltransferase 3', 'NMN/NaMN adenylyltransferase 3', 'Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3', 'PNAT-3', 'NaMN adenylyltransferase 3']
Q94M05	['NTPase P4']
O07732	['Probable lignin peroxidase LipJ', 'Cyclase']
Q9XB61	['Carbapenam-3-carboxylate synthase', '6.3.3.6', 'Carbapenam-3-carboxylate ligase']
P14941	['1.1.1.80', 'NADP-dependent isopropanol dehydrogenase']
Q56148	['Chloramphenicol 3-O phosphotransferase', 'CPT', '2.7.1.-']
P19624	['4-(phosphohydroxy)-L-threonine dehydrogenase', '1.1.1.262', '4-hydroxythreonine-4-phosphate dehydrogenase']
P54317	['Galactolipase', 'PL-RP2', '3.1.1.26', 'Pancreatic lipase-related protein 2', 'PLRP2']
P62593	['Beta-lactamase TEM', 'TEM-24/CAZ-6', 'TEM-4', 'Penicillinase', 'TEM-1', 'TEM-16/CAZ-7', 'TEM-8/CAZ-2', 'TEM-3', 'TEM-2', 'TEM-6', 'IRT-4', '3.5.2.6', 'TEM-5']
P68133	['Actin, alpha skeletal muscle', 'Alpha-actin-1', 'ACTA']
Q46220	['Iota toxin component Ia precursor', 'Iota toxin component Ia']
P60953	['G25K GTP-binding protein', 'Cell division control protein 42 homolog']
Q8I372	['3.5.1.88', 'Peptide deformylase']
P98170	['hILP', 'IAP-like protein', 'Inhibitor of apoptosis protein 3', 'X-linked IAP', 'X-linked inhibitor of apoptosis protein', 'IAP3', 'API3', 'Baculoviral IAP repeat-containing protein 4', 'ILP', 'BIRC4', 'E3 ubiquitin-protein ligase XIAP', '6.3.2.-', 'hIAP3', 'hIAP-3', 'IAP-3']
Q9ZF99	['Malate dehydrogenase', '1.1.1.37']
P35270	['Sepiapterin reductase', 'SPR', '1.1.1.153']
Q70AC7	['2.1.3.1', 'Methylmalonyl-CoA carboxyltransferase 5S subunit', 'Transcarboxylase 5S subunit']
Q9RUZ0	['Citrate lyase subunit beta-like protein', '4.1.-.-']
Q9ZAG3	['3.3.2.8', 'Limonene-1,2-epoxide hydrolase']
P00807	['Penicillinase', '3.5.2.6', 'Beta-lactamase']
P03276	['Penton protein', 'Protein III', 'CP-P', 'Penton base protein']
O34450	['N-acetylglucosamine-6-phosphate deacetylase', 'GlcNAc 6-P deacetylase', '3.5.1.25']
P22073	['Gentiobiase', 'Cellobiase', 'Amygdalase', '3.2.1.21', 'BGA', 'Beta-D-glucoside glucohydrolase', 'Beta-glucosidase A']
P22830	['Protoheme ferro-lyase', 'Heme synthase', '4.99.1.1', 'Ferrochelatase, mitochondrial']
P51161	['I-15P', 'Ileal lipid-binding protein', 'ILBP', 'Fatty acid-binding protein 6', 'Intestinal bile acid-binding protein', 'Gastrotropin', 'Intestinal 15 kDa protein', 'GT', 'I-BABP', 'ILLBP']
P13073	['Cytochrome c oxidase subunit 4 isoform 1, mitochondrial', 'COX4', 'Cytochrome c oxidase subunit IV isoform 1', 'COX IV-1', 'Cytochrome c oxidase polypeptide IV']
P00395	['COI', '1.9.3.1', 'Cytochrome c oxidase polypeptide I', 'COXI', 'MTCO1', 'Cytochrome c oxidase subunit 1']
P00403	['Cytochrome c oxidase subunit 2', 'COXII', 'MTCO2', 'Cytochrome c oxidase polypeptide II', 'COII']
P00414	['Cytochrome c oxidase polypeptide III', 'COIII', 'COXIII', 'MTCO3', 'Cytochrome c oxidase subunit 3']
P20674	['Cytochrome c oxidase polypeptide Va', 'Cytochrome c oxidase subunit 5A, mitochondrial']
P10606	['Cytochrome c oxidase polypeptide Vb', 'Cytochrome c oxidase subunit 5B, mitochondrial']
P09669	['Cytochrome c oxidase subunit 6C', 'Cytochrome c oxidase polypeptide VIc']
P24311	['Cytochrome c oxidase subunit 7B, mitochondrial', 'Cytochrome c oxidase polypeptide VIIb']
P15954	['Cytochrome c oxidase subunit 7C, mitochondrial', 'Cytochrome c oxidase polypeptide VIIc']
P10176	['Cytochrome c oxidase subunit 8A, mitochondrial', 'Cytochrome c oxidase polypeptide VIII-liver/heart', 'COX8L', 'COX8', 'Cytochrome c oxidase subunit 8-2']
Q02221	['Cytochrome c oxidase subunit VIA-muscle', 'COXVIAH', 'COX6A', 'COX VIa-M', 'Cytochrome c oxidase polypeptide VIa-heart', 'Cytochrome c oxidase subunit 6A2, mitochondrial', 'COX6AH']
P14854	['COX6B', 'Cytochrome c oxidase subunit VIb isoform 1', 'Cytochrome c oxidase subunit 6B1', 'COX VIb-1']
P24310	['Cytochrome c oxidase subunit VIIa-heart', 'Cytochrome c oxidase subunit 7A1, mitochondrial', 'COX7AH', 'Cytochrome c oxidase subunit VIIa-muscle', 'Cytochrome c oxidase subunit VIIa-H', 'Cytochrome c oxidase subunit VIIa-M']
Q7KZA3	['4.99.1.1', 'Ferrochelatase']
Q8TDU6	['G-protein coupled receptor GPCR19', 'G-protein coupled bile acid receptor 1', 'hGPCR19', 'hBG37', 'TGR5', 'M-BAR', 'BG37', 'Membrane-type receptor for bile acids']
O43252	["Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1", 'Sulfurylase kinase 1', 'SK 1', 'PAPSS', 'SK1', 'ATPSK1', 'PAPS synthase 1']
P0A1P6	['6.3.1.2', 'Glutamine synthetase', 'Glutamate--ammonia ligase']
Q2RJ67	['EC 2.1.1.13', '5-methyltetrahydrofolate--homocysteine S-methyltransferase']
P23222	['2.7.13.3', 'Sensor protein FixL']
P49424	['man26A', '3.2.1.78', 'Mannanase A', 'Mannan endo-1,4-beta-mannosidase', 'Mannanase 26A', 'ManA']
P81180	['CV-N', 'Cyanovirin-N']
P11439	['2.4.2.36', 'PE', 'ETA', 'Exotoxin A', 'NAD(+)--diphthamide ADP-ribosyltransferase']
P13551	['Elongation factor G', 'EF-G', 'fus']
P62580	['Chloramphenicol acetyltransferase', '2.3.1.28', 'CAT']
P00484	['Chloramphenicol acetyltransferase 3', '2.3.1.28', 'CAT-III', 'Chloramphenicol acetyltransferase III']
P16050	['Arachidonate 12-lipoxygenase, leukocyte-type', 'Arachidonate omega-6 lipoxygenase', '1.13.11.33', '12/15-lipoxygenase', '12-LOX', 'LOG15', '15-LOX', 'Arachidonate 15-lipoxygenase']
Q8TCG2	['2.7.1.67', 'Phosphatidylinositol 4-kinase type 2-beta', 'Phosphatidylinositol 4-kinase type II-beta', 'PI4KII-BETA']
P08648	['FNRA', 'Fibronectin receptor subunit alpha', 'Integrin alpha-F', 'Integrin alpha-5', 'VLA-5', 'CD49 antigen-like family member E']
P37840	['NACP', 'PARK1', 'Alpha-synuclein', 'Non-A4 component of amyloid precursor', 'Non-A beta component of AD amyloid']
Q96EB6	['Regulatory protein SIR2 homolog 1', 'hSIRT1', '3.5.1.-', 'SIR2-like protein 1', 'NAD-dependent protein deacetylase sirtuin-1', 'SIR2L1', 'hSIR2']
Q86T13	['C-type lectin domain family 14 member A', 'EGFR-5', 'EGFR5', 'Epidermal growth factor receptor 5', 'C14orf27']
P11166	['GLUT-1', 'Solute carrier family 2, facilitated glucose transporter member 1', 'GLUT1', 'HepG2 glucose transporter', 'Glucose transporter type 1, erythrocyte/brain']
Q92945	['Far upstream element-binding protein 2', 'FUBP2', 'FUSE-binding protein 2', 'KSRP', 'KH type-splicing regulatory protein', 'p75']
O31616	['yjbR', 'GO', 'goxB', '1.4.3.19', 'Glycine oxidase']
Q59325	['3.2.1.-', 'Glucanase']
P9WPP7	['Cytochrome P450 121', '1.14.21.9', 'Cytochrome P450 MT2', 'Mycocyclosin synthase']
Q8VVD2	['Xylan alpha-1,2-glucuronidase', '3.2.1.131']
O35000	['3.5.99.6', 'GNPDA 1', 'Glucosamine-6-phosphate deaminase 1', 'GlcN6P deaminase 1', 'Glucosamine-6-phosphate isomerase 1']
P00512	['ATP-dependent 6-phosphofructokinase', 'pfk', 'Phosphohexokinase', '2.7.1.11', 'ATP-PFK']
P00943	['Triosephosphate isomerase', 'tpi', 'Triose-phosphate isomerase', '5.3.1.1', 'TIM']
P09104	['NSE', 'Enolase 2', 'Neuron-specific enolase', '4.2.1.11', 'Neural enolase', 'Gamma-enolase', '2-phospho-D-glycerate hydro-lyase']
P50921	['Triosephosphate isomerase', 'tim', 'tpi', 'Triose-phosphate isomerase', '5.3.1.1']
Q7ADF8	['3.1.3.68', '2-deoxyglucose-6-phosphate phosphatase']
P55809	['Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial', '2.8.3.5', 'SCOT-s', '3-oxoacid CoA-transferase 1', 'SCOT', 'OXCT', 'Somatic-type succinyl-CoA:3-oxoacid CoA-transferase']
Q9X180	['Sensor histidine kinase']
P11802	['Cell division protein kinase 4', 'Cyclin-dependent kinase 4', 'PSK-J3', '2.7.11.22']
Q75UV1	['Ap6A hydrolase', 'ATP-generating (di)nucleotide polyphosphate hydrolase', 'ATP-generating Ap6A hydrolase', '3.6.1.61', 'Diadenosine hexaphosphate hydrolase', 'Nudix protein']
P61769	['Beta-2-microglobulin form pI 5.3', 'Beta-2-microglobulin']
P01848	['T-cell receptor alpha chain C region', 'TCRA']
P01850	['T-cell receptor beta-1 chain C region']
P04439	['MHC class I antigen A*3', 'HLA class I histocompatibility antigen, A-3 alpha chain', 'HLAA']
P31723	['Man(9)-alpha-mannosidase', 'Mannosyl-oligosaccharide alpha-1,2-mannosidase', '3.2.1.113']
P62312	['U6 snRNA-associated Sm-like protein LSm6']
P0A927	['nupA', 'Nucleoside-specific channel-forming protein tsx']
P05042	['Iron-independent fumarase', 'Fumarate hydratase class II', 'Fumarase C', '4.2.1.2']
Q7Z2Z2	['EFL1', 'Elongation factor Tu GTP-binding domain-containing protein 1', 'Protein FAM42A', 'FAM42A', 'Elongation factor-like 1']
Q7K9G0	['3-mercaptopyruvate sulfurtransferase', 'Mercaptopyruvate sulfurtransferase']
Q9ZHG9	['L-cysteine/cystine lyase C-DES']
P31142	['3-mercaptopyruvate sulfurtransferase', 'Rhodanese-like protein', '2.8.1.2', 'MST']
P31101	['Hydroxylamine reductase', 'Prismane protein', 'Hybrid-cluster protein', '1.7.99.1', 'HCP']
Q16762	['Rhodanese', 'Thiosulfate sulfurtransferase', '2.8.1.1']
Q5SJI0	['Sulfurtransferase']
P0A6V7	['Thiosulfate sulfurtransferase GlpE', '2.8.1.1']
Q01770	['Hydroxylamine reductase', 'Prismane protein', 'Hybrid-cluster protein', '1.7.99.1', 'HCP']
P0A006	['Protein ArsC', 'Low molecular weight protein-tyrosine-phosphatase', 'Arsenate reductase', 'Arsenical pump modifier']
P29460	['IL-12 subunit p40', 'CLMF p40', 'NKSF2', 'IL-12B', 'NK cell stimulatory factor chain 2', 'Cytotoxic lymphocyte maturation factor 40 kDa subunit', 'Interleukin-12 subunit beta']
P0C0J0	['Exotoxin type B', 'Streptopain', '3.4.22.10', 'Streptococcal cysteine proteinase', 'Streptococcus peptidase A', 'SPE B', 'SPP']
P02929	['Protein TonB', 'exbA']
Q59976	['3.2.1.21', 'Beta-glucosidase']
Q9L5C8	['blaCTX-M-9', '3.5.2.6', 'blaCTX-M-9b', 'Beta-lactamase']
Q939N4	['3.5.2.6', 'Beta-lactamase']
P71119	['1.14.14.18', 'Heme oxygenase']
Q9Y3I0	['6.5.1.3', 'tRNA-splicing ligase RtcB homolog', 'C22orf28']
P83689	['OCP', 'Orange carotenoid-binding protein']
P22340	['Sucrose porin', 'Sucrose porin precursor']
P05655	['Levansucrase', 'Beta-D-fructofuranosyl transferase', '2.4.1.10', 'Sucrose 6-fructosyl transferase']
P84077	['ADP-ribosylation factor 1']
Q7SIG1	['Hydrolase']
P20261	['Lipase 1', '3.1.1.3']
Q06124	['Tyrosine-protein phosphatase non-receptor type 11', 'PTP-1D', 'SHPTP2', 'Shp2', '3.1.3.48', 'SH-PTP2', 'SHP-2', 'PTP-2C', 'Protein-tyrosine phosphatase 2C', 'SH-PTP3', 'Protein-tyrosine phosphatase 1D', 'PTP2C']
P12488	['Env polyprotein', 'Envelope glycoprotein gp160']
P15474	['3-dehydroquinase', '4.2.1.10', 'Type II DHQase', '3-dehydroquinate dehydratase']
